analysis_sample_rate,artist_7digitalid,artist_familiarity,artist_hotttnesss,artist_id,artist_latitude,artist_location,artist_longitude,artist_name,artist_playmeid,audio_md5,danceability,duration,end_of_fade_in,energy,key,key_confidence,loudness,mode,mode_confidence,release,release_7digitalid,song_hotttnesss,song_id,start_of_fade_out,tempo,time_signature,time_signature_confidence,title,track_7digitalid,track_id,year
22050,29785,0.78046174877704066,0.57427473051685607,ARMQHX71187B9890D3,nan,"Atlanta, GA",nan,Mastodon,-1,a600d65cf157a306be60f26ecbf218f4,0.0,280.21505999999999,0.23799999999999999,0.0,5,0.55500000000000005,-3.306,1,0.5,Call of the Mastodon,223563,0.59764079771477685,SOVLGJY12A8C13FBED,275.52800000000002,173.20500000000001,5,0.12,Deep Sea Creature,2442524,TRACCVZ128F4291A8A,2001
22050,167867,0.56158994585660649,0.42057030720837379,AR2PT4M1187FB55B1A,nan,,nan,Los Chichos,1880,c64d75b0588e5ab552ee94548b50a4fa,0.0,191.68608,0.0,0.0,0,0.501,-10.763999999999999,1,0.70999999999999996,Adelante,221677,nan,SOGDQZK12A8C13F37C,184.12799999999999,150.95500000000001,4,0.59999999999999998,No Quieras Marcharte,2423472,TRACCMH128F428E4CD,1984
22050,7725,0.68768748587215545,0.40668609946666062,ARDI88R1187B98DAB2,nan,,nan,Foxy Brown,-1,0cadd310865701bb93ced1cd78e8910a,0.0,222.92852999999999,0.0,0.0,1,0.32900000000000001,-9.0350000000000001,1,0.40699999999999997,Ill Na Na,47304,0.58892216755590654,SODMVJR12A6D4F985D,216.30000000000001,93.055999999999997,4,1.0,If I...,507029,TRACCSW128F148C7C3,0
22050,2799,0.39174139414810444,0.29126481175310043,ARUKJUP12086C14589,nan,,nan,Ramón Vargas;Vladimir Jurowski,20111,14be4fc1170152c445b3be7b8d18dfec,0.0,278.38648999999998,0.496,0.0,7,0.313,-23.094999999999999,1,0.38700000000000001,Massenet: Werther,295123,nan,SOIWBDR12A8C13A4AC,278.38600000000002,127.113,1,0.44600000000000001,Werther - Lyric Drama in four Acts/Act I/Alors_ c'est bien ici la maison du bailli?,3343102,TRACCXJ128F428F0CF,0
22050,74269,0.59341604877978316,0.39570954770762196,ARZEWUR1187FB53DC8,50.456629999999997,"Belgica -- Namur, Namur/Ghent, East Flanders",4.8713699999999998,Enthroned,55656,1def5d8298e8cb29a188a5a7c0e9429a,0.0,89.155460000000005,4.8470000000000004,0.0,2,0.0,-20.359000000000002,1,0.0,Pentagrammaton,785362,nan,SOHCCIA12AC907577F,79.203000000000003,90.659999999999997,3,0.52400000000000002,Ad Te Clamamus Exsvles Mortva Liberi,8688607,TRACCVS12903D014F8,2010
22050,49956,0.81592342034368559,0.5551383219226409,ARUZRFN1187B98AC05,nan,"Cleveland, OH",nan,Bone Thugs-N-Harmony,5412,79ed013fa65b4fc3424dd1ef0ab76dd5,0.0,255.73831999999999,0.156,0.0,9,0.55600000000000005,-5.7240000000000002,1,0.45500000000000002,BTNHRESURRECTION,310248,0.47405483093120077,SOBOAQC12A8C13E3E9,252.012,101.167,1,1.0,Murder One,3510188,TRACCKS128F42B77AE,2000
22050,25694,0.54393655188452594,0.4303002791079415,ARHBWOZ1187FB3FD53,nan,ITALY,nan,Utopia,6721,6f8cc33a8ed925e2077a876de3a11977,0.0,239.59465,0.40300000000000002,0.0,2,0.16700000000000001,-10.653,1,0.372,Utopia,576541,nan,SOKVLHX12AB0187B39,231.80500000000001,173.84100000000001,3,0.30199999999999999,On My Feet Again,6389516,TRACCQM12903CACC1E,0
22050,588,0.92903028744116045,0.75042655101891786,ARR3ONV1187B9A2F59,54.314070000000001,UK,-2.23001,Muse,-1,ee8450e2e32b8adc9623d95ba6633b2f,0.0,156.96933999999999,0.32200000000000001,0.0,4,0.77200000000000002,-20.815999999999999,0,0.52400000000000002,Plug In Baby,521383,0.65283569538913833,SOMMSMW12A8C13FCCC,142.286,127.547,1,0.16800000000000001,Bedroom Acoustics,5764770,TRACCUS128F92E1FEB,0
22050,11301,0.64519233874676607,0.47122432991900803,AR3THYK1187B999F1F,nan,,nan,João Gilberto,-1,60d56ccbced3db74f86bddc21bb4c92f,0.0,197.19791000000001,0.27600000000000002,0.0,4,0.66500000000000004,-29.75,1,0.58199999999999996,Joao Voz E Violato,55934,0.63160081808880963,SODPNJR12A6D4FA52D,187.58199999999999,127.782,4,0.22600000000000001,Segredo,581259,TRACCJA128F149A144,2000
22050,19967,0.49581932895928499,0.34276521913001623,ARFELOH1187B991F95,nan,,nan,Niraj Chag,-1,19a1d23af6018cdfb32e8e751932d662,0.0,262.58240000000001,2.3279999999999998,0.0,9,0.317,-5.6440000000000001,1,0.35699999999999998,The Lost Souls Bonus EP,722229,nan,SOFFLLP12AB018ED52,257.15499999999997,90.013000000000005,5,0.38600000000000001,Sajana (Ft Faheem Mazhar),8005714,TRACCGB12903CD1B90,0
22050,158022,0.53285050234071396,0.30293047062451028,ARO0EUG1187B9AC250,nan,,nan,Portable,154330,2cc129cebff23dcaf7a4a16c253a7178,0.0,362.60525999999999,0.10299999999999999,0.0,10,0.505,-18.152000000000001,0,0.42899999999999999,Distance,478222,0.0,SOZSPTD12A8C143BFD,335.10500000000002,116.005,4,1.0,Theresa,5308233,TRACCXJ128F92E984B,2003
22050,4387,0.71332214654672055,0.47361318937539909,AR6CLFP1187B9ACB94,nan,"Sacramento, CA",nan,Daniel Johnston,-1,51d1a106db2f6fd40dc0e1ebb7cc380e,0.0,311.53586999999999,0.112,0.0,0,0.66900000000000004,-12.743,1,0.73699999999999999,Welcome to my World,546441,0.68747064090900167,SOHWWOM12AB0186627,306.02199999999999,106.742,4,0.43099999999999999,Story Of An Artist (Don't Be Scared),6043996,TRACCEJ128F93257ED,0
22050,5354,0.58733226737498168,0.4213861126004072,AR6WICD1187B998708,39.952269999999999,"Philadelphia, PA",-75.162369999999996,Christian McBride,48629,8323e7da9ec1814f032538dfbd9fb0b7,0.0,692.06159000000002,0.0,0.0,0,0.68000000000000005,-9.4789999999999992,1,0.48099999999999998,Live At Tonic,661309,nan,SOZVLXO12AF72ABCDB,680.89599999999996,121.20099999999999,4,0.91200000000000003,D Shuffle Jam (Part 2),7328964,TRACCMO12903CA4168,0
22050,252201,0.27461328335632273,0.0,ARMFOCL119B8668919,nan,,nan,String Trio Of New York,-1,e511d40949236f8e04d8bbc7f2141059,0.0,392.43709999999999,7.1289999999999996,0.0,9,0.59399999999999997,-18.245000000000001,0,0.46700000000000003,Intermobility,324015,0.0,SOVBVJW12AAF3B5F77,365.27300000000002,130.316,5,1.0,Ju Ju,3648647,TRACCVN128F92DAE3D,0
22050,43762,0.34173223003613984,0.29682395079510554,AR3GYKU1187B996AB9,41.051819999999999,"Stamford, CT",-73.542230000000004,Jim Kweskin,-1,f7815154eb429a68e49690afad5f5240,0.0,208.90076999999999,0.47899999999999998,0.0,10,0.56100000000000005,-15.279,1,0.53300000000000003,Garden Of Joy,460926,nan,SOINHKC12AB01836E0,186.625,160.98099999999999,4,0.14899999999999999,When I Was A Cowboy (Western Plains) (LP Version),5132257,TRACCOK128F932AF52,0
22050,370267,0.49993922098868471,0.37444943049681989,ARDOOH01187B991055,nan,,nan,Ultraviolence,160798,f4523725da4eb48a7b11a2db5982025c,0.0,367.41179,0.078,0.0,1,0.34300000000000003,-9.2490000000000006,1,0.30099999999999999,Blown Away,681735,0.21508031850922793,SODKUVJ12AB0187A4A,357.51799999999997,174.56999999999999,4,0.315,I Destructor (Lenny Dee Mix),7565989,TRACCLY12903CDD7C4,0
22050,263179,0.4866791431655032,0.36250143392097245,ARVUAJC1187B9908A5,nan,Speedball,nan,Speedball,-1,94b58f7b5b13679f196c9a2dced7f928,0.0,212.21832000000001,0.28499999999999998,0.0,5,0.28499999999999998,-9.1910000000000007,0,0.25600000000000001,Maximum Speed,675629,0.25510303553912445,SOMJNMD12AB0187F93,203.685,159.702,1,0.0,No Survivors,7493527,TRACJJZ12903CCBCDA,1998
22050,403537,0.49389115297928421,0.35549595657968791,ARM63WJ1187B9951EA,nan,,nan,Autumnblaze,-1,92c8a70a68a6897c99ba2f8f85debd16,0.0,286.24934000000002,0.0,0.0,9,0.50900000000000001,-9.0329999999999995,0,0.45700000000000002,DämmerElbenTragödie,549533,0.40790171721807383,SOZNBMX12AB0182AD1,279.31900000000002,119.428,4,0.69499999999999995,Her Golden Robe In Silence Veiled,6073670,TRACJPW128F932CA4C,1999
22050,31395,0.73239386306960308,0.49622434864396775,ARBQPXY1187B98D67B,25.89958,"Brownsville, TX",-97.495530000000002,Kris Kristofferson,3139,f9f7c58b5318c5a60e1a66a1d0ecb3df,0.0,194.37669,0.0,0.0,2,0.58199999999999996,-11.663,1,0.67900000000000005,Original Album Classics,668413,0.36037058271214062,SOIRIWN12AB0183AE7,186.74600000000001,74.808999999999997,4,0.0,Same Old Song,7410905,TRACJWY12903CB7DBF,1974
22050,11062,0.55319423352061003,0.35980722500277096,ARPVFV91187B98BB94,nan,,nan,Cinder,42106,f05e0f88fd293d36127e4842edf443f3,0.0,218.61832000000001,1.147,0.0,6,0.51800000000000002,-5.0250000000000004,1,0.71599999999999997,House Full Of No Trust,46067,0.21204540548371908,SOESNFW12A6D4F995F,211.94,157.90899999999999,4,0.68600000000000005,The Ride (Album),492038,TRACJHJ128F1489FAB,2006
